Year,NCAA Participation
1982,231445
1983,254849
1984,268460
1985,286518
1986,288629
1987,277201
1988,264662
1989,268701
1990,263745
1991,275309
1992,278597
1993,282710
1994,289933
1995,294212
1996,331638
1997,328683
1998,325310
1999,353563
2000,346241
2001,369884
2002,363491
2003,372933
2004,375851
2005,384742
2006,393509
2007,402937
2008,412768
2009,421169
2010,430301
2011,444077
2012,453347
2013,463202
2014,472625
2015,482533
2016,486859
2017,491930
2018,494992
2019,499217
2020,503623
